district,year,drunk_count,disorder_count,total_count
BAYVIEW,2003,32,76,15739
BAYVIEW,2004,34,27,15943
BAYVIEW,2005,44,66,15108
BAYVIEW,2006,44,28,14242
BAYVIEW,2007,33,19,13925
BAYVIEW,2008,22,21,14104
BAYVIEW,2009,27,39,13617
BAYVIEW,2010,34,43,14076
BAYVIEW,2011,55,18,13914
BAYVIEW,2012,63,20,14498
BAYVIEW,2013,57,27,14788
BAYVIEW,2014,34,37,13884
BAYVIEW,2015,39,46,14710
BAYVIEW,2016,27,49,14344
BAYVIEW,2017,23,40,14003
BAYVIEW,2018,7,8,4105
CENTRAL,2003,118,109,13622
CENTRAL,2004,107,151,13799
CENTRAL,2005,81,83,13292
CENTRAL,2006,99,61,13093
CENTRAL,2007,77,94,13335
CENTRAL,2008,94,72,13566
CENTRAL,2009,93,61,13061
CENTRAL,2010,75,64,12170
CENTRAL,2011,64,61,12757
CENTRAL,2012,83,55,14033
CENTRAL,2013,66,58,14783
CENTRAL,2014,80,34,17341
CENTRAL,2015,72,56,18565
CENTRAL,2016,52,32,17695
CENTRAL,2017,33,38,19003
CENTRAL,2018,9,8,6140
INGLESIDE,2003,44,34,14008
INGLESIDE,2004,36,19,13995
INGLESIDE,2005,29,34,13273
INGLESIDE,2006,43,24,12654
INGLESIDE,2007,27,26,12797
INGLESIDE,2008,31,28,12173
INGLESIDE,2009,33,24,12135
INGLESIDE,2010,36,35,12351
INGLESIDE,2011,26,32,11932
INGLESIDE,2012,28,35,12519
INGLESIDE,2013,33,28,13196
INGLESIDE,2014,38,15,12833
INGLESIDE,2015,20,7,13414
INGLESIDE,2016,18,13,11626
INGLESIDE,2017,15,14,11516
INGLESIDE,2018,6,3,3758
MISSION,2003,82,190,21163
MISSION,2004,104,237,21029
MISSION,2005,112,177,19560
MISSION,2006,103,171,18916
MISSION,2007,168,202,18434
MISSION,2008,158,189,19721
MISSION,2009,112,257,19117
MISSION,2010,104,231,18119
MISSION,2011,118,166,18237
MISSION,2012,99,104,18786
MISSION,2013,163,130,21156
MISSION,2014,148,115,19438
MISSION,2015,143,144,18537
MISSION,2016,101,171,19561
MISSION,2017,76,109,21798
MISSION,2018,15,18,6504
NORTHERN,2003,55,181,18975
NORTHERN,2004,67,99,18750
NORTHERN,2005,65,117,18677
NORTHERN,2006,79,58,18679
NORTHERN,2007,57,42,16430
NORTHERN,2008,60,49,16080
NORTHERN,2009,61,42,15838
NORTHERN,2010,55,50,14263
NORTHERN,2011,37,88,14655
NORTHERN,2012,31,107,16341
NORTHERN,2013,59,38,18112
NORTHERN,2014,46,30,18411
NORTHERN,2015,48,72,20089
NORTHERN,2016,59,124,20143
NORTHERN,2017,30,28,21043
NORTHERN,2018,8,10,6227
PARK,2003,73,49,8219
PARK,2004,78,69,8183
PARK,2005,60,61,8109
PARK,2006,64,50,7885
PARK,2007,57,42,7234
PARK,2008,47,31,7188
PARK,2009,104,71,7554
PARK,2010,53,41,6912
PARK,2011,47,42,7532
PARK,2012,57,39,8769
PARK,2013,57,27,9456
PARK,2014,30,19,9332
PARK,2015,32,31,9341
PARK,2016,13,18,8718
PARK,2017,16,11,8580
PARK,2018,4,3,2467
RICHMOND,2003,25,26,7692
RICHMOND,2004,15,18,7758
RICHMOND,2005,19,19,7264
RICHMOND,2006,16,15,6441
RICHMOND,2007,22,21,6586
RICHMOND,2008,21,18,6875
RICHMOND,2009,27,20,6825
RICHMOND,2010,29,14,6500
RICHMOND,2011,27,16,6662
RICHMOND,2012,32,12,7706
RICHMOND,2013,26,14,8478
RICHMOND,2014,26,8,8015
RICHMOND,2015,31,8,9079
RICHMOND,2016,17,9,8942
RICHMOND,2017,22,12,9490
RICHMOND,2018,5,3,2505
SOUTHERN,2003,134,157,25692
SOUTHERN,2004,108,136,24551
SOUTHERN,2005,107,60,23086
SOUTHERN,2006,135,55,23325
SOUTHERN,2007,133,65,24175
SOUTHERN,2008,170,91,24153
SOUTHERN,2009,177,54,24409
SOUTHERN,2010,168,75,26049
SOUTHERN,2011,162,84,24708
SOUTHERN,2012,149,98,25890
SOUTHERN,2013,318,60,29240
SOUTHERN,2014,117,47,28861
SOUTHERN,2015,103,128,30095
SOUTHERN,2016,88,143,28538
SOUTHERN,2017,66,66,28436
SOUTHERN,2018,20,16,8577
TARAVAL,2003,20,25,11329
TARAVAL,2004,15,30,12059
TARAVAL,2005,89,51,11756
TARAVAL,2006,78,39,10827
TARAVAL,2007,57,38,9988
TARAVAL,2008,44,17,10770
TARAVAL,2009,45,22,10350
TARAVAL,2010,34,21,9310
TARAVAL,2011,35,27,9876
TARAVAL,2012,36,20,10515
TARAVAL,2013,42,15,10709
TARAVAL,2014,32,9,10527
TARAVAL,2015,51,16,11965
TARAVAL,2016,49,19,11358
TARAVAL,2017,33,23,12145
TARAVAL,2018,6,8,3487
TENDERLOIN,2003,79,39,12737
TENDERLOIN,2004,36,28,12081
TENDERLOIN,2005,30,19,12061
TENDERLOIN,2006,42,20,11791
TENDERLOIN,2007,40,32,14735
TENDERLOIN,2008,63,273,16681
TENDERLOIN,2009,125,366,16954
TENDERLOIN,2010,118,253,13773
TENDERLOIN,2011,81,228,12424
TENDERLOIN,2012,66,214,11790
TENDERLOIN,2013,133,67,12888
TENDERLOIN,2014,69,31,11486
TENDERLOIN,2015,37,43,10731
TENDERLOIN,2016,41,81,9957
TENDERLOIN,2017,25,58,8759
TENDERLOIN,2018,4,18,2898
